REFERENCIA ENCO;Z;DP;DE;D;L;A;B
1.35.09;9;27,85;31;17;16;8;11
1.35.10;10;30,82;35;20;16;8;12
1.35.11;11;33,81;38;23;16;8;14
1.35.12;12;36,80;41;26;16;12;17
1.35.13;13;39,80;44;29;16;12;19
1.35.14;14;42,81;47;32;16;12;21
1.35.15;15;45,81;51;35;20;12;23
1.35.16;16;48,82;54;38;20;12;25
1.35.17;17;51,84;57;41;20;12;27
1.35.18;18;54,85;60;44;20;12;29
1.35.19;19;57,87;63;47;22;12;31
1.35.20;20;60,89;66;50;22;12;33
1.35.21;21;63,91;69;53;22;12;35
1.35.22;22;66,93;72;56;22;12;37
1.35.23;23;69,95;75;59;22;12;39
1.35.24;24;72,97;78;62;22;15;41
1.35.25;25;76,00;81;65;22;15;43
1.35.26;26;79,02;84;68;22;15;45
1.35.27;27;82,05;87;70;22;15;47
1.35.28;28;85,07;90;72;22;15;48
1.35.30;30;91,12;96;78;25;15;52
1.35.35;35;106,26;112;93;25;15;62
1.35.38;38;115,34;121;103;25;15;69
1.35.40;40;121,40;127;110;25;15;73
1.35.45;45;136,55;142;126;25;20;82
1.35.48;48;145,64;151;130;25;20;87
1.35.54;54;163,82;169;72;30;20;48
1.35.57;57;172,91;178;72;30;20;48
1.35.60;60;182,00;187;80;30;20;57
1.35.76;76;230,49;236;80;30;20;57
1.35.95;95;288,08;293;80;30;20;57
